TEMPO_VIVIE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;BOLSA_FAMILIA;POP_RUA;GRAU_INSTRUCAO;COR_RACA;FAIXA_RENDA_FAMILIAR_PER_CAPITA;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Mais de dez anos;Toda semana;18/07/1994 00:00;25;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;12/08/1976 00:00;43;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;29/05/1976 00:00;43;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Todo ano;06/07/1976 00:00;43;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre seis meses e um ano;Todo mês;25/01/1985 00:00;34;MASCULINO;NÃO;SIM;Medio completo;Branca;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre um e dois anos;Quase nunca;11/02/1981 00:00;38;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;13 a 18 Meses;out/19
Entre seis meses e um ano;Quase nunca;10/06/1970 00:00;49;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Entre dois e cinco anos;Todo mês;25/09/1981 00:00;38;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;acima de 48 Meses;out/19
Ate seis meses;Nunca;26/11/1987 00:00;31;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre seis meses e um ano;Nunca;15/08/1968 00:00;51;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;400;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;17/06/1970 00:00;49;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Nunca;21/07/1982 00:00;37;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS APOLONIA;VENDA NOVA;25 a 36 Meses;out/19
Mais de dez anos;Todo mês;08/11/1984 00:00;34;MASCULINO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;08/10/1987 00:00;32;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;25;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Todo mês;11/07/1978 00:00;41;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;1400;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre um e dois anos;Nunca;22/08/1988 00:00;31;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;05/06/1962 00:00;57;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Todo mês;10/10/1992 00:00;27;MASCULINO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Entre seis meses e um ano;Nunca;22/02/1976 00:00;43;MASCULINO;NÃO;SIM;Medio completo;Parda;Acima de 1/2 S.M.;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;20/12/1976 00:00;42;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;200;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Nunca;30/01/1968 00:00;51;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;19 a 24 Meses;out/19
Ate seis meses;Nunca;16/02/1993 00:00;26;MASCULINO;NÃO;SIM;Sem instrucao;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre cinco e dez anos;Quase nunca;20/05/1977 00:00;42;MASCULINO;NÃO;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo mês;22/07/1988 00:00;31;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Quase nunca;20/03/1978 00:00;41;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Entre dois e cinco anos;Todo mês;25/03/1974 00:00;45;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;300;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;19 a 24 Meses;out/19
Ate seis meses;Nunca;06/06/1959 00:00;60;MASCULINO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Toda semana;18/06/1963 00:00;56;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Acima de 1/2 S.M.;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;02/12/1958 00:00;60;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Todo mês;11/06/1997 00:00;22;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;100;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Todo mês;28/06/1963 00:00;56;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;10;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Todo mês;25/10/1979 00:00;39;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;30;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;25/08/1962 00:00;57;MASCULINO;NÃO;SIM;Fundamental completo;Amarela;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;29/06/1973 00:00;46;MASCULINO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Entre dois e cinco anos;Nunca;18/02/1981 00:00;38;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Quase nunca;06/10/1955 00:00;64;MASCULINO;NÃO;SIM;Superior incompleto ou mais;Preta;Entre R$89,01 ate R$178,00;450;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo ano;09/09/1982 00:00;37;MASCULINO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo mês;19/01/1980 00:00;39;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;16/06/1960 00:00;59;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Mais de dez anos;Nunca;29/12/1975 00:00;43;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;03/04/1960 00:00;59;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Nunca;30/01/1978 00:00;41;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Nunca;09/12/1970 00:00;48;MASCULINO;NÃO;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;05/05/1979 00:00;40;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Quase nunca;11/11/1957 00:00;61;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;NOROESTE;25 a 36 Meses;out/19
Entre dois e cinco anos;Toda semana;19/10/1960 00:00;58;MASCULINO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;10/03/1972 00:00;47;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;270;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre um e dois anos;Toda semana;24/02/1960 00:00;59;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Ate seis meses;Nunca;13/01/1989 00:00;30;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Nunca;29/06/1987 00:00;32;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Nunca;03/04/1972 00:00;47;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre cinco e dez anos;Nunca;24/06/1988 00:00;31;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;acima de 48 Meses;out/19
Entre seis meses e um ano;Nunca;24/11/1981 00:00;37;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Todo ano;08/01/1955 00:00;64;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Entre R$89,01 ate R$178,00;200;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre cinco e dez anos;Nunca;20/05/1977 00:00;42;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;17/09/1977 00:00;42;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;80;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre seis meses e um ano;Quase nunca;14/05/1978 00:00;41;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;190;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre um e dois anos;Nunca;05/03/1986 00:00;33;MASCULINO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Todo ano;25/05/1982 00:00;37;MASCULINO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;acima de 48 Meses;out/19
Mais de dez anos;Nunca;01/09/1972 00:00;47;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Todo ano;16/01/1966 00:00;53;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;acima de 48 Meses;out/19
Ate seis meses;Nunca;15/11/1989 00:00;29;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;28/04/1970 00:00;49;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Todo mês;27/09/1975 00:00;44;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo ano;02/09/1953 00:00;66;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Quase nunca;16/05/1988 00:00;31;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Nunca;04/12/1981 00:00;37;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre seis meses e um ano;Nunca;28/07/1984 00:00;35;MASCULINO;NÃO;SIM;Fundamental completo;Branca;Ate R$89,00;30;ENDERECO FORA AREA CRAS;NORDESTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Toda semana;20/07/1970 00:00;49;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;100;ENDERECO FORA AREA CRAS;LESTE;19 a 24 Meses;out/19
Entre seis meses e um ano;Quase nunca;01/07/1972 00:00;47;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;40;ENDERECO FORA AREA CRAS;PAMPULHA;25 a 36 Meses;out/19
Ate seis meses;Toda semana;28/02/1995 00:00;24;MASCULINO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre um e dois anos;Toda semana;24/07/1974 00:00;45;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Entre R$178,01 ate 1/2 S.M.;800;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Quase nunca;28/04/1979 00:00;40;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;10;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;21/02/1990 00:00;29;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Todo mês;26/08/1968 00:00;51;MASCULINO;NÃO;SIM;Medio completo;Parda;Entre R$178,01 ate 1/2 S.M.;0;CRAS MORRO DAS PEDRAS - GRACA SABOIA;OESTE;ate 12 Meses;out/19
Ate seis meses;Todo mês;05/02/1980 00:00;39;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Nunca;24/03/1950 00:00;69;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Ate seis meses;Todo mês;12/06/1990 00:00;29;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;300;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Mais de dez anos;Todo ano;04/10/1983 00:00;36;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;50;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Entre dois e cinco anos;Toda semana;04/09/1971 00:00;48;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;18/03/1953 00:00;66;MASCULINO;NÃO;SIM;Sem instrucao;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo ano;26/11/1985 00:00;33;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;25/05/1977 00:00;42;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Ate seis meses;Todo ano;28/03/1978 00:00;41;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Todo ano;26/03/1965 00:00;54;MASCULINO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Mais de dez anos;Nunca;06/03/1963 00:00;56;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;80;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Todo mês;17/11/1997 00:00;21;MASCULINO;NÃO;SIM;Medio completo;Branca;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Ate seis meses;Nunca;04/01/1962 00:00;57;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre dois e cinco anos;Nunca;06/12/1977 00:00;41;MASCULINO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;20;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;out/19
Mais de dez anos;Quase nunca;02/02/1969 00:00;50;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre um e dois anos;Quase nunca;22/08/1990 00:00;29;MASCULINO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Ate seis meses;Quase nunca;29/09/1990 00:00;29;MASCULINO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;25 a 36 Meses;out/19
